关键词,标题链接,图片,编号,text_1luwz,描述
  共产党人的初心 ,https://www.baidu.com/s?wd=%E5%85%B1%E4%BA%A7%E5%85%9A%E4%BA%BA%E7%9A%84%E5%88%9D%E5%BF%83&sa=fyb_news&rsv_dl=fyb_news,"https://fyb-2.cdn.bcebos.com/hotboard_image/98940a5c77eb76d8351f7fc6b27c6779?x-bce-process=image/resize,m_fill,w_256,h_170", 4999707 , 热搜指数 , 在习近平总书记心中，“为中国人民谋幸福、为中华民族谋复兴”——共产党人这一初心使命，永远不能改变！ 查看更多>
  上海暴雨陈赫家里漏成水帘洞  热 ,https://www.baidu.com/s?wd=%E4%B8%8A%E6%B5%B7%E6%9A%B4%E9%9B%A8%E9%99%88%E8%B5%AB%E5%AE%B6%E9%87%8C%E6%BC%8F%E6%88%90%E6%B0%B4%E5%B8%98%E6%B4%9E&sa=fyb_news&rsv_dl=fyb_news,"https://fyb-2.cdn.bcebos.com/hotboard_image/3e7c255b18cb5d61d448f2ccdef411e3?x-bce-process=image/resize,m_fill,w_256,h_170", 4961799 , 热搜指数 , 近日，上海持续暴雨，演员陈赫和陈龙发视频吐槽家中漏雨现象。陈赫称家里漏成水帘洞，室内摆塑料盆接雨，陈龙在家撑伞。 查看更多>
  中国地铁站有厕所让老外破防  热 ,https://www.baidu.com/s?wd=%E4%B8%AD%E5%9B%BD%E5%9C%B0%E9%93%81%E7%AB%99%E6%9C%89%E5%8E%95%E6%89%80%E8%AE%A9%E8%80%81%E5%A4%96%E7%A0%B4%E9%98%B2&sa=fyb_news&rsv_dl=fyb_news,"https://fyb-1.cdn.bcebos.com/fyb/de6163834f53ca92c1273fff98ac9078.jpeg?x-bce-process=image/resize,m_fill,w_256,h_170", 4811039 , 热搜指数 ,查看更多>
  庆祝建党103周年 ,https://www.baidu.com/s?wd=%E5%BA%86%E7%A5%9D%E5%BB%BA%E5%85%9A103%E5%91%A8%E5%B9%B4&sa=fyb_news&rsv_dl=fyb_news,"https://fyb-2.cdn.bcebos.com/hotboard_image/70e8da5e492441ab19ddb75d2aa2f21a?x-bce-process=image/resize,m_fill,w_256,h_170", 4705315 , 热搜指数 , 2024年7月1日是中国共产党103周年华诞。坚守信仰、不忘初心，各地举行形式多样的活动，庆祝党的生日。 查看更多>
  周昆训烈士儿子高考出分  热 ,https://www.baidu.com/s?wd=%E5%91%A8%E6%98%86%E8%AE%AD%E7%83%88%E5%A3%AB%E5%84%BF%E5%AD%90%E9%AB%98%E8%80%83%E5%87%BA%E5%88%86&sa=fyb_news&rsv_dl=fyb_news,"https://fyb-2.cdn.bcebos.com/hotboard_image/c280a23e62a1c995d20ad0ee0b9d73b3?x-bce-process=image/resize,m_fill,w_256,h_170", 4657379 , 热搜指数 , 近日，抗洪烈士周昆训的儿子周义航高考出分。27日，周义航被国防科技大学预录取，完成了父亲生前的遗愿。 查看更多>
  天津武清一楼盘从160万降到39万 ,https://www.baidu.com/s?wd=%E5%A4%A9%E6%B4%A5%E6%AD%A6%E6%B8%85%E4%B8%80%E6%A5%BC%E7%9B%98%E4%BB%8E160%E4%B8%87%E9%99%8D%E5%88%B039%E4%B8%87&sa=fyb_news&rsv_dl=fyb_news,"https://fyb-1.cdn.bcebos.com/fyb/de6163834f53ca92c1273fff98ac9078.jpeg?x-bce-process=image/resize,m_fill,w_256,h_170", 4526468 , 热搜指数 ,查看更多>
  17岁羽毛球小将张志杰比赛中晕倒去世  热 ,https://www.baidu.com/s?wd=17%E5%B2%81%E7%BE%BD%E6%AF%9B%E7%90%83%E5%B0%8F%E5%B0%86%E5%BC%A0%E5%BF%97%E6%9D%B0%E6%AF%94%E8%B5%9B%E4%B8%AD%E6%99%95%E5%80%92%E5%8E%BB%E4%B8%96&sa=fyb_news&rsv_dl=fyb_news,"https://fyb-2.cdn.bcebos.com/hotboard_image/9b8d78aecb1472f74c262f1bebb41a4d?x-bce-process=image/resize,m_fill,w_256,h_170", 4450140 , 热搜指数 , 7月1日，据亚洲羽毛球联合会及印尼羽协发布公告称，中国羽毛球单打运动员张志杰在比赛中晕倒后不治离世。 查看更多>
  硅胶人脸面具制售乱象调查 ,https://www.baidu.com/s?wd=%E7%A1%85%E8%83%B6%E4%BA%BA%E8%84%B8%E9%9D%A2%E5%85%B7%E5%88%B6%E5%94%AE%E4%B9%B1%E8%B1%A1%E8%B0%83%E6%9F%A5&sa=fyb_news&rsv_dl=fyb_news,"https://fyb-1.cdn.bcebos.com/fyb/de6163834f53ca92c1273fff98ac9078.jpeg?x-bce-process=image/resize,m_fill,w_256,h_170", 4315507 , 热搜指数 ,查看更多>
  娄底某校园为明代监狱？造谣 ,https://www.baidu.com/s?wd=%E5%A8%84%E5%BA%95%E6%9F%90%E6%A0%A1%E5%9B%AD%E4%B8%BA%E6%98%8E%E4%BB%A3%E7%9B%91%E7%8B%B1%EF%BC%9F%E9%80%A0%E8%B0%A3&sa=fyb_news&rsv_dl=fyb_news,"https://fyb-2.cdn.bcebos.com/hotboard_image/699b954e302436b6ba03907556fda3a2?x-bce-process=image/resize,m_fill,w_256,h_170", 4266238 , 热搜指数 , 近日，一网民发布视频称某校园为明代关押苏三的监狱，引发关注，经公安机关核查为谣言，民警已依法对视频发布者进行行政处罚。 查看更多>
  薛之谦演唱会与女粉丝对话内容引争议 ,https://www.baidu.com/s?wd=%E8%96%9B%E4%B9%8B%E8%B0%A6%E6%BC%94%E5%94%B1%E4%BC%9A%E4%B8%8E%E5%A5%B3%E7%B2%89%E4%B8%9D%E5%AF%B9%E8%AF%9D%E5%86%85%E5%AE%B9%E5%BC%95%E4%BA%89%E8%AE%AE&sa=fyb_news&rsv_dl=fyb_news,"https://fyb-2.cdn.bcebos.com/hotboard_image/5578e4158567b87f1be9b2a2a3249939?x-bce-process=image/resize,m_fill,w_256,h_170", 4191117 , 热搜指数 , 6月30日，薛之谦在演唱会互动环节中，与女粉丝的对话内容引发网友争议。 查看更多>
